,serial_number,heading,reviews,country,date,verified
0,0,disappointed,airplanes lounges worn old broken dallas heathrow multiple first class seating electronics non functional poorly designed first class seating heathrow dubrovnik nothing tray blocking middle seat standard coach ticket disappointed,United States,2023-09-28,trip verified
1,1,service shockingly bad,one worst experiences worst airline flight delayed due earlier technical issues time slipped 1700 2000 2200 finally cancelled zero information given despite paying well odds business class booted ba lounge two hours flight finally cancelled ba staff without explanation told everyone go gate another hour made us enter uk via passport control 40 minute wait airport closing sign bags help ba passing gatwick engineer finally helped us locate bags ba completely washed hands us contravention caa rules refused find us accommodation many slept bus stop overnight people young children ’ find somewhere stay yet ba closed left following day replacement flight also late due admin mistake catering liquids 2 12 hr flight overall service shockingly bad worst experienced airline ever use,United Kingdom,2023-09-28,trip verified
2,2,never fly ba,cancelled flight lastminute moved us onto flight 2 days later operated japan airlines paid lot extra extra legroom seats tall assigned middle seat deep middle plane operated different airline booked ba neither ba airline could change seat phone despite seats available 4 hours waiting queues sitting hold solution arrive early airport seats already given away free people booked directly airline could check online got £10 meal voucher compensation enormous downgrade 14 hour flight never fly ba would rather fly indirect better airlines use disgrace airline,United Kingdom,2023-09-27,trip verified
3,3,never fly awful airline,flight miami florida dublin ireland via londons heathrow airport outbound flight miami delayed delayed gate occupied arrived heathrow total delay roughly hour enough make connection challenge 73 minutes original arrival time departure time dublin headed connection flight stopped security personnel checkpoint told us gate connection flight already closed twenty minutes prior departure time ushered us customer service rebooked given busy weekend travel rebooked flight different airport told cost get would reimbursed waited 3 hours luggage took cab londons city airport cab fare roughly 500 filed claim british airways refused claim told plenty time make connecting flight therefore denied claim reimbursed cab fare explained british airways employees ushered us rebook flight despite 20 minute timeframe make connecting flight person rebooked us told us policy close gate 20 minutes prior departure never fly awful airline given feedback site appears overwhelming sentiment,United States,2023-09-23,trip verified
4,4,’ never fly,started day ba prague flight actually left time came find ’ unusual purchased business class seats see picture hardly business class block middle seat first rows called business class horrible flight addition really rude rude check clerk basically yell excused asked could give little bit priority many business class passengers ’ served got heathrow real fun began 4 hour delay gave us 5 different excuses delay employees walk away asking questions rude one point employees left announcements seems virtually every ba flight delayed weather issues place comfortably store items business class ’ never experienced even cup holder bottle water seat controls ’ work well keep pushing buttons get anything power outlet ’ work internet entire flight overhead luggage bin heavy almost got hernia close horrible airline ’ never fly could give zero stars would,United States,2023-09-22,trip verified
5,5,worst worst,fly british airways weekly want route ’ option therefore frankly ’ care customer flights always delayed ’ always someone else ’ fault weather delays incoming aircraft flight traffic control issues ’ heard life understand allowed operate ’ around world traveled world ’ airlines british airways really worst worst ’ shame watched used good company fall cliff advice option fly anyone else exercise option ’ flying different connections tight schedule expect ba get destination time,United Kingdom,2023-09-22,trip verified
6,6,everyone refused help us,everything ok connecting flight london take runway pilot came announce engine problem engineers tried fix waited plane hour finally told would evacuated rebooked another flight worry special crew waiting us ground help us set us hotel except one help us fact everyone refused help us saturday almost 8pm wanted go home anyone connecting flight couldnt rebook application app wouldnt disassociate first flight connecting one london staff saw still refused help us gave us phone number message said use app finally got someone phone rebooked us next day 1030pm find hotel room airline refused also help us 2 choices either sleep airport pay 700gbp room dont money pay 10 hour flight 8 hours jet lag insane stress fact one british airways would help us took room course claimed reimbursement 3 weeks ago havent heard anything since idea much ill reimbursed even though im claiming emotional compensation horrible situation put due total indifference financially difficult right money put equal half salary course impossible reach phone feel still august 26 2023 completely trapped indifference solution information,France,2023-09-20,unverified
7,7,single feedback british airways,initial flight cancelled 8 hours prior flight automatically rescheduled next day next day flight delayed leaving hamburg missed connecting flight las vegas several passengers spent night london british airways provided us vouchers transfer bus dropped us wrong hotel closest hotel told us walk want result lost two nights hotel reservations made las vegas opened claim provided receipts british airways get refund hotel reservations 5 weeks single feedback british airways avoid flights future share story,Germany,2023-09-20,unverified
8,8,never fly british airways,never fly british airways flight july 15 2023 lhr lax cancelled 20 hours departure without explanation since 8 weeks waiting refund ba pay us cost caused cancellation disappointing,Switzerland,2023-09-19,unverified
9,9,club europe ’ feel premium,check security clearance quick lhr t5 wife used galleries north lounge 600am easy get seat good buffet breakfast options flight boarded time flight departed time seated 4 club europe seats a320 seem getting smaller legroom 6ft tight cabin crew service fine chose full english breakfast ok lot water bottom bowl flight landed time overall ok flight club europe ’ feel premium days,United Kingdom,2023-09-18,trip verified
10,10,worst airline uk,british airways confirmed worst airline uk last minute cancellation explanation refusal book another airline “ ’ arrangement ” ’ happened used national airline,United Kingdom,2023-09-16,unverified
11,11,worst ba experience,worst ba experience supposed fly italy 7 september 2023 arrived tambo international airport ready check bags already checkedin online previous evening boarding pass ready counter told offloaded flight connecting flight cancelled information sent regarding beforehand team checkin counter tried get another flight evening flights available manage get another flight following evening lufthansa italy via frankfurt however miss first part trip arrived day half later supposed upon moving flights ask ba staff whether flights back still valid everything order assured correct fly back south africa 18 september upon checking booking information noticed ba account first flight milan london missing booking connecting london johannesburg still spending entire morning customer helpline two different operators picked instances moment proceed give booking reference number call gets dropped currently seems like arriving airport monday without flight,South Africa,2023-09-15,trip verified
12,12,worst airline service,daughter denied boarding business class flight madrid heathrow march 25 2023 first leg return flight victoria canada reason given denied boarding check staff british airways counter madrid said agents told us call british airways three hours early flight valid passports many tries finally reached british airways phone told call expedia booked flights expedia confirmed bumped flight explanation expedia began long process finding alternative flights next 24 hours numerous calls expedia british airways incredibly next available flights 9 days later april 3 almost unbelievable many many tries best could even though business class tickets part problem apparently rules allow changes routing segment flight nine day delay major problem us miss work daughter missing school received compensation british airways penalty fee reimbursement expenses staying nine extra days return began british airways online complaint process submitted supporting documents received email reply case reference number nothing sent numerous follow emails received replies months later still heard british airways shocking definitely worst airline service received thousands flights many decades patient person first time commented type forum think public made aware extremely poor customer service british airways,Canada,2023-09-13,trip verified
13,13,service board impeccable,despite boarding usual free lhr groups 13 called board whilst passengers agreed check bag gate getting board anyone else however service board impeccable superb crew friendly attentive interacting passengers generally appearing enjoying job like ba old days best food choice quality seems improved beef cheeks thankfully even club kitchen appears returned old style club seating least better feels less cramped 787s,United Kingdom,2023-09-11,trip verified
14,14,national disgrace,flight cancelled crew 9th september 2023 peak holiday period bad management ba sent gate left standing hour flight cancelled day ba continue provide poor service national disgrace,United Kingdom,2023-09-10,unverified
15,15,worst service ever,worst service ever baggage arrive time flights delayed never fly even food bad service,Kuwait,2023-09-09,unverified
16,16,recommend,44 flights booked holiday delayed 12 hours wifi available 2 4 flights food drinks basic expensive recommend,Germany,2023-09-06,trip verified
